period: 0   v0: 0.7078403500   v1: 0.1554015635   v2: 20   v3: 10085   v4: 1   
period: 1   v0: 0.7078403500   v1: 0.5024414063   v2: 20   v3: 32115   v4: 0   
period: 2   v0: 0.7078403500   v1: 0.1214977612   v2: 20   v3: 21262   v4: 0   
period: 3   v0: 0.7078403500   v1: 0.4697268533   v2: 20   v3: 28130   v4: 0   
period: 4   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 5   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 6   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 7   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 8   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 9   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 10   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 11   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 12   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 13   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 14   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 15   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 16   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 17   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 18   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 19   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 20   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 21   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 22   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 23   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 24   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 25   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 26   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 27   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 28   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 29   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 30   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 31   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 32   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 33   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 34   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 35   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 36   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 37   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 38   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 39   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 40   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 41   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 42   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 43   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 44   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 45   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 46   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 47   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 48   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 49   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 50   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 51   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 52   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 53   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 54   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 55   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 56   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 57   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 58   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 59   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 60   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 61   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 62   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 63   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 64   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 65   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 66   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 67   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
